,questions,answer_texts
495,"['Who was the author of Watership Down?', ""And what was the book's origin country?"", ""What's the author's date of birth?"", 'Where was the author born?', 'Where is the book set at?']","['Richard Adams', 'England', '9 May 1920', 'Newbury', 'Berkshire']"
496,"['Does Bradley Cooper star in American Hustle?', 'When was he born?', 'Who was the composer for the movie?', 'Any Golden Globes awarded?', 'And the film length?']","['Yes', '5 January 1975', 'Danny Elfman', 'Yes', '138 minute']"
497,"['By whom is the character the unicorn in The Last Unicorn dubbed?', 'Did the voice actor work as a model in the past?', 'Is the movie made from a book?', 'By whom is the soundtrack?', 'What genre do they play normally?']","['Mia Farrow', 'Yes', 'Yes', 'America', 'folk rock']"
498,"['Which author wrote the novel 1Q84?', 'the country that the author is from?', 'which of his books won the World Fantasy Award for the best novel?', 'did the author win the Franz Kafka Prize?', 'in which year?']","['Haruki Murakami', 'Japan', 'Kafka on the shore', 'Yes', '2006']"
499,"['What kind of sport does the movie The Blind Side pick out ?', 'and who is the main player ?', 'Who is the director of the movie ?', 'Where does the idea come from ?', 'What is the instance of it ?']","['American football', 'Michael Oher', 'John Lee Hancock', 'The Blind Side: Evolution of a Game', 'Yes']"
500,"['When did the record Like A Virgin come out?', 'who was artist?', 'which genre would say the music is?', 'who produced the record?', 'which label was that record on?']","['1984', 'Madonna', 'dance-pop', 'Nile Rodgers', 'Sire Records']"
501,"['In which series can I hear ""I\'ll be there for you"" as a theme?', 'And the series is from where?', 'is Doctor Who filmed there too?', 'from where then?', 'and the guy who wrote the music also comes from there?']","['Friends', 'United States of America', 'No', 'United Kingdom', 'Yes']"
502,"['Did The Black Eyed Peas form in 1998?', 'Where did they originate?', 'What music category do they belong?', 'What is their official website?', 'Did Fergie leave the band in 2014 ?']","['No', 'Los Angeles', 'hip hop music;techno;pop music', 'http://www.blackeyedpeas.com', 'No']"
503,"['Harry Potter and the Philosophers Stone is also known as?', 'Who wrote it?', 'What is the the title of the next book?', 'and the third book?', 'What is the fourth book called?']","[""Harry Potter and the Sorcerer's Stone"", 'J.K. Rowling', 'Harry Potter and the Chamber of Secrets', 'Harry Potter and the Prisoner of Azkaban', 'Harry Potter and the Goblet of Fire']"
504,"[""What was the name of the album that the Red Hot Chili Pepper's released in 1999?"", ""What's the first song on the album?"", 'What was the name of the person that played the lead guitar on that song?', 'Give me the name of the most recent album that he has been featured on.', 'Give me the year that album was released.']","['Californication', '""Around the World""', 'John Frusciante', 'Trickfinger II', '2017']"
505,"['Which show takes place in New York city and focuses on six single people?', 'Which characters in friends are siblings?', ""Who is Ross Geller's primary love interest?"", 'Who roomer with Ross Geller in college in friends?', 'What is the name of the coffee shop in friends?']","['Friends', 'Ross Geller;Monica Geller', 'Rachel Green', 'Chandler Bing', 'Central Perk']"
506,"[""Who is the head coach for the US Men's National Soccer Team?"", 'When did he get the job?', 'When did the team start?', 'Did they ever when a world cup championship?', 'How many world cup has the team been in?']","['Gregg Berhalter', '29 November 2018', '1885', 'No', '10']"
507,"['In what year was Manchester United F.C. established?', 'What’s the name of their manager in 2017?', 'What year did they last win the Premier League?', 'During what time did David Beckham play for them?', 'How many times did he play for them?']","['1875', 'José Mourinho', '2016', '1992;2003', '265']"
508,"['Who wrote the book Under The Dome?', ""Did he recieve any reward's for this book?"", ""Is it true that he has received other reward's for books that he has written since then?"", 'Tell me the name of the reward that he has received.', 'What else has he accomplished since receiving that reward?']","['Stephen King', 'Yes', 'Yes', 'Best Novel', 'He received the Edgar Award for Best Novel for his book Mr. Mercedes in 2015.']"
509,"['Which was the first club that Jonas Hector was playing for?', 'When did he play there?', 'Where did he go afterwards?', 'When was he born?', 'Where was that?']","['SV Auersmacher', '2009;2010', '1. FC Köln', '1990', 'Saarbrücken']"
510,"['In what country does Sevilla FC play?', 'When was this club created?', 'Where is the headquarters of this club?', 'Did they ever win the Champions Cup?', 'How about La Liga?']","['Spain', '1905', 'Seville', 'No', 'Yes']"
511,"['Who is the writer of the novel The Beach?', 'And when is his father born?', 'And where?', 'Does he have the same job as his son?', 'What is his job then?']","['Alex Garland', '1 September 1935', 'London', 'No', 'cartoonist']"
512,"['Did Mesut Özil participate in wc 2018?', 'Name of his football club in 2014?', 'Name of the previous club?', 'Country?', 'Did he play for that country in 2018 wc?']","['Yes', 'Arsenal F.C.', 'Real Madrid C.F.', 'Spain', 'No']"
513,"['What is the genre for Stranger Things?', 'What year does it take place?', 'Where was it filmed?', 'What network is it on?', 'When was it published?']","['Science Fiction;Fantasy', '1983', 'Atlanta;Jackson', 'Netflix', '15 July 2016']"
514,"['Who is the writer of the novel The Beach?', 'And when is his father born?', 'And where?', 'Is he also a writer?', 'What is his job then?']","['Alex Garland', '1 September 1935', 'London', 'No', 'cartoonist']"
515,"['Who wrote Law and Order?', 'Which channel did Law and Order come on?', 'What was the name of the actor who played Jack McCoy?', 'Chris Noth played which detective on Law and Order?', 'How long did Law and Order last?']","['Dick Wolf', 'NBC', 'Sam Waterston', 'Mike Logan', '20']"
516,"['Which author wrote The Beach?', 'And when is his father born?', 'And what is his birth place?', 'Does he have the same job as his son?', 'What is his job then?']","['Alex Garland', '1 September 1935', 'London', 'No', 'cartoonist']"
517,"['Did Mesut Özil participate in wc 2018?', 'Club in 2014?', 'Name of the previous club?', 'Country?', 'Did he play for that country in 2018 wc?']","['Yes', 'Arsenal F.C.', 'Real Madrid C.F.', 'Spain', 'No']"
518,"['Who created Supernatural?', 'How many seasons are there out by 2018?', 'What actor plays the father for Sam and Dean?', 'What is the name of the yellow eyed demon?', 'Who is the actor that plays Bobby Singer?']","['Eric Kripke', '14', 'Jeffrey Dean Morgan', 'Azazel', 'Jim Beaver']"
519,"['Which famous author wrote the fantasy book series Harry Potter?', 'Which book was the first one written?', 'What novel was the final one?', 'Which new student joined Harry Potter in school after an incident?', 'How many books are there?']","['J. K. Rowling', ""Harry Potter and the Philosopher's Stone"", 'Harry Potter and the Deathly Hallows', 'Hermione Granger', '7']"
520,"['Who is the lead singer of Radiohead?', 'Who plays the drums in that band?', 'When was he born?', 'And what was the name of their first major record?', 'How many songs are on it?']","['Thom Yorke', 'Philip Selway', '23 May 1967', 'Pablo Honey', '12']"
521,"['What is the name of the author of The Stand?', 'What genre does the book fall in?', 'When did it come out?', 'What company published the book?', 'What was the name given the virus in the book?']","['Stephen King', 'post-apocalyptic;horror', '1978', 'Doubleday', 'Captain Trips']"
522,"['What genre of music does Imagine Dragons perform?', 'Where are they from?', ""What's the lead singer's name?"", 'Their first album was called what?', 'It released when?']","['pop rock', 'United States of America', 'Dan Reynolds', 'Night Visions', '04 September 2012']"
523,"[""What singer is a former member of Destiny's Child and married to Jay-Z?"", 'Her first solo album was?', 'First single?', 'What is her most recent albulm to be released? in 2018', 'Her first movie?']","['Beyonce', 'Dangerously in Love', 'Crazy in Love', 'Lemonade', 'Carmen: A Hip Hopera']"
524,"['When is the singer Halsey born?', 'Is she younger than the singer Lana Del Rey?', 'And what album from Lana Del Rey did come out in 2014?', 'And in 2017?', 'Are they the same music genre?']","['29 September 1994', 'Yes', 'Ultraviolence', 'Lust for Life', 'No']"
525,"['Which author wrote the novel 1Q84?', ""author's nationality?"", 'he won the World Fantasy Award for?', 'did the author win the Franz Kafka Prize?', 'in which year?']","['Haruki Murakami', 'Japan', 'Kafka on the shore', 'Yes', '2006']"
526,"['What genre of music does Imagine Dragons perform?', 'Where are they from?', ""What's the lead singer's name?"", 'What was their first album?', 'It released when?']","['pop rock', 'United States of America', 'Dan Reynolds', 'Night Visions', '04 September 2012']"
527,"['Who had the role JD in Scrubs?', 'And who was Turk played by?', 'What is the number of seasons that the series has?', 'And the number of episodes?', 'When was the end of it?']","['Zach Braff', 'Donald Faison', '9', '182', '17 March 2010']"
528,"['What book is Pennywise the dancing clown found in?', 'Where was the movie located?', 'What was the name of the boy whose brother was killed?', ""Who is Bill's best friend?"", 'Who is the main Bully in IT?']","['IT', 'Derry', 'Bill Denbrough', 'Eddie Kapsbrack', 'Henry Bowers']"
529,"['Which was the first club that Jonas Hector was playing for?', 'At which time did he play at that club?', 'For which club did he play after that?', 'When was he born?', 'And where?']","['SV Auersmacher', '2009;2010', '1. FC Köln', '1990', 'Saarbrücken']"
530,"['The movie Die Hard was released in theaters in which year?', 'Which actor plays the main protagonist?', ""What's his name in the movie?"", 'Who directed it?', ""What's the name of the book the movie was inspired by?""]","['1988', 'Bruce Willis', 'John McClane', 'John McTiernan', 'Nothing Lasts Forever']"
531,"['Which actor played the role of Freddie Mercury in Bohemian Rhapsody?', 'Where is he born?', 'What is this actors field of work?', 'And who was the executive producer of the movie?', 'And who edited the movie ?']","['Rami Malek', 'Los Angeles', 'actor;television actor;film actor', 'Arnon Milchan', 'John Ottman']"
532,"['Which movie of the The Lord of the Rings trilogy is the second longest?', ""The director's first wife?"", 'How many children has she in 2017?', 'Did she work as an actress?', 'The birth place of her first child?']","['The Lord of the Rings: The Two Towers', 'Fran Walsh', '2', 'Yes', 'Wellington']"
533,"['Who played the part of Allison DuBois in the TV show Medium?', 'What cities DA did she work for?', 'Who played the part of the DA?', ""and who played Allison's husband?"", 'How many seasons did it run?']","['Patricia Arquette', 'Phoenix', 'Miguel Sandoval', 'Jake Weber', '7']"
534,"['When was the author Stephen King born?', 'What book has a killer clowns', 'What is the title of the first book in The Dark Tower series?', 'What book to movie of him has Arnold Schwarzenegger in it?', 'What kids book did he write about a train?']","['21 September 1947', 'IT', 'The Dark Tower: The Gunslinger', 'The Running Man', 'Charlie the Choo-Choo: From the World of The Dark Tower']"
535,"['In what year was the book The Hobbit published?', 'The author published more than one book?', 'His wife in 1970?', 'The first-born child of her?', 'Had he have a brother?']","['21 September 1937', 'Yes', 'Edith Tolkien', 'John Francis Reuel Tolkien', 'Yes']"
536,"['Where is the band Nightwish from?', 'Which languages are officially spoken in that country?', 'In what language are the songs typically?', 'Are there some exceptions for Finnish?', ""What's the native word for Finland?""]","['Finland', 'Finnish;Swedish', 'English', 'Yes', 'Suomi']"
537,"['Who directed Tombstone?', 'What was the name of the writer for the movie?', 'When was it released?', 'What was the name of the main character?', 'He was born when?']","['George P. Cosmatos;Kevin Jarre', 'Kevin Jarre', '1993', 'Wyatt Earp', '19 March 1848']"
538,"['Agatha Christie wrote about both Dale Cooper and Miss Marple?', 'and who of them is?', 'how many books she wrote about her?', 'the first book is called?', 'written in country?']","['No', 'Miss Marple', '12', 'The Body in the Library', 'United Kingdom']"
539,"['What kind of genre is the book Eragon?', 'and who wrote it ?', 'and when was he born ?', 'When was the book published ?', 'and who published the book ?']","['young adult literature;speculative fiction novel', 'Christopher Paolini', '17 November 1983', '26 August 2003', 'Alfred A. Knopf']"
540,"['Give me the publication date of Beverly Hills Cop in the USA.', 'And in germany?', 'actor of Axel?', 'Films with James Earl Jones and him?', 'When publicated?']","['5 December 1984', '4 April 1985', 'Eddie Murphy', 'Coming to America', '29 June 1988']"
541,"['The movie with the second longest duration of the The Lord of the Rings trilogy is which?', ""The director's first wife?"", 'How many children has she in 2017?', 'Did she work as an actress?', ""Her first child's birth place?""]","['The Lord of the Rings: The Two Towers', 'Fran Walsh', '2', 'Yes', 'Wellington']"
542,"['What is the name of the person who sings in The Killers band?', 'What about the drummer?', 'Born when?', 'who else of them born the same year?', 'and the date?']","['Brandon Flowers', 'Ronnie Vannucci', '15 February 1976', 'Dave Keuning', '28 March 1976']"
543,"['Who created The X-Files?', 'In what year did the show come out?', 'What network did the show run on?', 'The show was about what two main characters?', 'What two actors portrayed those characters?']","['Chris Carter', '1993', 'Fox Broadcasting Company', 'Fox Mulder;Dana Scully', 'David Duchovny;Gillian Anderson']"
544,"['What amount of albums did Eminem release in the 20th century?', 'And Dr Dre was the producer of which of those?', 'Where was he born?', 'Does it share a border with Los Angeles?', 'Which of those two is older?']","['2', 'The Slim Shady LP', 'Compton', 'Yes', 'Los Angeles']"
545,"['Which band produced the album known as the ""dark side of the moon""?', 'Which co founder of Pink Floyd left the band?', 'Who was pink floyds first lead vocalist?', 'Who leads Pink Floyd by 2018?', 'What album from Pink Flotd became a movie?']","['Pink Floyd', 'Roger Waters', 'Syd Barrett', 'David Gilmour', 'The Wall']"
546,"['Is the suicide prince the shortest book in bill hodges trilogy?', 'Name of the novel before end of the watch and finders keepers?', 'Publication year of the second book in bill hodges trilogy?', 'The city name where the author was born?', 'Is the month when he and the writer of Game of Thrones were born the same?']","['Yes', 'Mr. Mercedes', '2015', 'Portland', 'Yes']"
547,"['The second title of the book Fire and Fury is what?', 'Its author?', 'Published when?', 'The subjects name?', 'Birthdate of the author?']","['Inside the Trump White House (English)', 'Michael Wolff', '2018', 'Donald Trump', '27 August 1953']"
548,"['Who is the author of Ready Player One?', 'what genre book is it?', 'was something created from the book?', ""what was the book's publisher?"", 'what awards did the book win?']","['Ernest Cline', 'science fiction novel', 'Ready Player One was made into a movie.', 'Crown Publishing Group', 'Ready Player One won the Promethus Award.']"
549,"['Where does the band Queen come from ?', 'and when were they founded ?', 'Who influenced the band ?', 'number of recieved awards ?', 'and where was the band founded ?']","['United Kingdom', '1970', 'The Beatles;The Who', '3', 'London']"
550,"['When was the first short story about The Witcher released?', 'And the computer game The Witcher 1?', 'Who is the voice actor of Geralt in this game?', 'Also in the third version of the game?', 'How is the full name of Ciri?']","['1986', '2007', 'Doug Cockle', 'Yes', 'Cirilla Fiona Elen Riannon']"
551,"['Can you tell me the author of Watership Down?', 'What nationality is the author?', 'When was the author born?', 'The book focused on what kind of animal are the main characters?', 'What was the year the novel was published?']","['Richard Adams', 'United Kingdom', '1920', 'rabbit', '1972']"
552,"['How many seasons did the TV show Friends air?', 'Who produced the show?', 'Who was the distributor?', 'What was the theme song for the show?', 'Where did Jennifer Aniston and David Schwimmer both show up?']","['10', 'David Crane;Marta Kauffman', 'Warner Bros. Television Distribution', ""I'll Be There for You"", 'Friends']"
553,"['When was the first book of the book series The Dwarves published ?', 'Which title has the second book ?', 'Who is the author ?', 'Where is the place of birth of the author?', 'When was he born ?']","['2003', 'The War of the Dwarves', 'Markus Heitz', 'Homburg', '10 October 1971']"
554,"['Was a Pulitzer Prize ever awarded for the book To Kill a Mockingbird?', 'Which year did it win?', 'And in what genre?', 'Who was the author of the book?', 'Was the book also a winner of the National Book Award for Fiction?']","['Yes', '1961', 'Fiction', 'Harper Lee', 'Yes']"
555,"[""T'challa was played by what actor in the Black Panther movie?"", 'and who was Killmonger?', 'and what other comic book character did he portray?', ""what's the director's name?"", 'did he also direct Creed?']","['Chadwick Boseman', 'Michael B. Jordan', 'Johnny Storm', 'Ryan Coogler', 'Yes']"
556,"['Who wrote the book Great Expectations?', 'Was the book written in 1861?', 'Who is the publisher?', ""What's the genre of the book?"", 'What was the main setting?']","['Charles Dickens', 'No', 'Chapman & Hall', 'black comedy', 'London;Kent']"
557,"[""What is Houston Dynamo's venue?"", ""And it's grand opening day?"", 'What league do they play for?', 'Who coaches the team in 2018?', 'Which country is he from?']","['BBVA Compass Stadium', '12 May 2012', 'Major League Soccer', 'Wilmer Cabrera', 'Colombia']"
558,"['What is the subtitle of the book Fire and Fury?', 'Its author?', 'Published when?', 'The subjects name?', ""Author's birthdate?""]","['Inside the Trump White House (English)', 'Michael Wolff', '2018', 'Donald Trump', '27 August 1953']"
559,"['Who plays Amenadiel on the tv-series Lucifer?', 'What about Mr Morningstar?', 'When was the actor born?', 'What about D. B. Woodside?', ""Does the series relate to the DC comics' Lucifer?""]","['D. B. Woodside', 'Tom Ellis', '17 November 1978', '25 July 1969', 'Yes']"
560,"['What is Halseys birth date?', 'Is the singer Lana Del Rey older than her?', 'And what album did Lana Del Rey publish in 2014?', 'And in 2017?', 'Do the two albums have the same genre?']","['29 September 1994', 'Yes', 'Ultraviolence', 'Lust for Life', 'No']"
561,"['What series Has ""I\'ll be there for you"" as a theme song?', 'And the series is from where?', 'and Dr Who also comes from there?', 'from where then?', 'and the guy who wrote the music also comes from there?']","['Friends', 'United States of America', 'No', 'United Kingdom', 'Yes']"
562,"['On which book is the series Game of Thrones based ?', 'What about the creators ?', 'How many episodes exists in 2018 ?', 'and where was it shown first ?', 'Where is the head quarter location ?']","['A Song of Ice and Fire', 'David Benioff;D. B. Weiss', '67', 'HBO', 'New York City']"
563,"['Which actor plays the role of Queen Elizabeth in the British series The Crown?', 'where did she receive her university education?', ""who plays the queen's husband?"", 'whom is the series based on?', 'the series was created by?']","['Claire Foy', 'Liverpool John Moores University;Oxford School of Drama', 'Matt Smith', 'Queen Elizabeth II', 'Peter Morgan']"
564,"['Who created the TV show Breaking Bad?', ""Did he recieve any award's for that show?"", ""What other show's has he worked on since Breaking Bad ended?"", ""What year did that show's first episode air?"", 'Did that show win any awards in 2019?']","['Vince Gilligan', 'Yes, the Outstanding Drama Series Award', 'Better Call Saul', '2015', 'Yes, TV Program of the Year']"
565,"['Tony Stark was played by what actor in The Avengers movie?', 'and who was Hulk?', 'who directed it?', 'was he also the screenwriter?', 'and what company produced it?']","['Robert Downey Jr.', 'Mark Ruffalo', 'Joss Whedon', 'Yes', 'Marvel Studios']"
566,"['What novel has the character named Nick Carraway?', 'What is the name of the author of the book?', 'Was this his first novel?', ""What was the name of the author's wife?"", 'Who was his child?']","['The Great Gatsby', 'F. Scott Fitzgerald', 'No', 'Zelda Fitzgerald', 'Frances Scott Fitzgerald']"
567,"['When was the Seattle Sounders franchise established?', ""Who's the coach in 2018?"", 'In which league do they play?', ""Who's their General Manager in 2018?"", 'Have they won an MLS Cup?']","['2007', 'Brian Schmetzer', 'Major League Soccer', 'Garth Lagerwey', 'Yes']"
568,"['Who sang Love Shack?', 'What year was the song released?', 'What album was it on?', 'What record label put out the album?', ""What's the name of the redhead in the video?""]","[""The B-52's"", '1989', 'Cosmic Thing', 'Reprise Records', 'Kate Pierson']"
569,"['When is the singer Halsey born?', 'Is the singer Lana Del Rey older than her?', 'And what album did Lana Del Rey publish in 2014?', 'And in 2017?', 'Do the two albums have the same genre?']","['29 September 1994', 'Yes', 'Ultraviolence', 'Lust for Life', 'No']"
570,"['From what country did Led Zeppelin originate?', 'How many band members did they originally have?', ""Who was the band's drummer?"", 'What is their first album titled?', ""Who was the band's lead singer?""]","['England', '4', 'John Bonham', 'Led Zeppelin', 'Robert Plant']"
571,"['Who is the author of the book Inferno?', 'What is the publication date?', 'And what book was it followed by?', 'And when was the author born?', 'And where?']","['Dan Brown', '14 May 2013', 'Origin', '22 June 1964', 'Exeter']"
572,"['Did The Black Eyed Peas form in 1998?', 'Where did they first get together?', 'What music category do they belong?', 'Do they have an official website?', 'Did Fergie leave the group in 2014?']","['No', 'Los Angeles', 'hip hop music;techno;pop music', 'http://www.blackeyedpeas.com', 'No']"
573,"[""Who wrote Hitchhiker's guide to the galaxy?"", 'Is he still alive?', 'Who is the author of the last part of the books series?', 'Is he known for any other books?', ""Was that before he wrote the last part of the Hichthiker's Guide to the Galaxy series?""]","['Douglas Adams', 'No', 'Eoin Colfer', 'Artemis Fowl', 'Yes']"
574,"['What band in known for albums such as ""the dark side of the moon"" and ""the wall""?', 'Which co founder of Pink Floyd left the band?', 'Who was the orignial lead vocalist of Pink Floyd?', 'Who leads Pink Floyd by 2018?', 'Which pink floyd album is a movie?']","['Pink Floyd', 'Roger Waters', 'Syd Barrett', 'David Gilmour', 'The Wall']"
575,"[""What's the name of the guy who sings lead in the band Radiohead?"", 'Who plays the drums in that band?', 'When was he born?', ""What's their first album called?"", 'How many songs are on it?']","['Thom Yorke', 'Philip Selway', '23 May 1967', 'Pablo Honey', '12']"
576,"['In which year did the show Breaking Bad first debut?', ""What's the name of the show's creator?"", 'Which network did it air on?', 'Who played Walter White on the show?', 'Aaron Paul played which character on the show?']","['2008', 'Vince Gilligan', 'AMC', 'Bryan Cranston', 'Jesse Pinkman']"
577,"['Who is the author of the Harry Potter book series?', 'What year did it begin?', 'Writer name JK stands for?', 'Any movie adaptations?', 'Name of third novel in series?']","['J. K. Rowling', '1997', 'Joanne Kathleen', 'Yes', 'Harry Potter and the Prisoner of Azkaban']"
578,"['What movie do Constance Wu and Henry Golding star in together?', 'Who is the director of this?', 'Who wrote the screenplay?', ""What is the movie's release date?"", 'is it also a book?']","['Crazy Rich Asians', 'Jon M. Chu', 'Adele Lim', '7 August 2018', 'Yes']"
579,"['What actor portrays Tony Stark in the movie The Avengers?', 'and who was Hulk?', ""what was the director's name?"", 'was he also the screenwriter?', 'and what company produced it?']","['Robert Downey Jr.', 'Mark Ruffalo', 'Joss Whedon', 'Yes', 'Marvel Studios']"
580,"['What year was Mission: Impossible – Fallout released?', 'what actor was the lead?', ""what's the name of the director?"", 'what genre was the movie?', ""who was the film's production company?""]","['2018', 'Tom Cruise', 'Christopher McQuarrie', 'Mission: Impossible – Fallout was a thriller film.', 'Bad Robot Productions']"
581,"['How many character roles did Nina Dobrev perform in the TV Series The Vampire Diaries?', 'What where those characters?', 'What about Katerina Graham, did she also have several character roles?', 'And Candice King?', 'Which of them is younger?']","['3', 'Elena Gilbert;Katherine Pierce;Amara', 'No', 'No', 'Katerina Graham']"
582,"['What year was the Seattle Sounders founded?', ""Who's the coach in 2018?"", 'In which league do they play?', ""Who's their General Manager in 2018?"", 'Do they have any MLS championships?']","['2007', 'Brian Schmetzer', 'Major League Soccer', 'Garth Lagerwey', 'Yes']"
583,"['Birthdate Stephen King?', 'What book did Stephen King write about a killer clown?', 'What is the title of the first book in The Dark Tower series?', 'What short story of him was turned into a movie with Arnold Schwarzenegger?', 'What kids book did he write about a train?']","['21 September 1947', 'IT', 'The Dark Tower: The Gunslinger', 'The Running Man', 'Charlie the Choo-Choo: From the World of The Dark Tower']"
584,"['Where is the foundation location of the band Die Toten Hosen ?', 'In which country is the city located ?', 'In which year was the inception of the band ?', 'Is punk rock one of the genres that they are playing ?', 'Does the band Die Ärzte play this genre too?']","['Düsseldorf', 'Germany', '1982', 'Yes', 'Yes']"
585,"['What is the publication date of the movie Fantastic Beasts and Where to Find Them?', 'Who played Newt Scamander?', 'Was Katherine Waterston involved?', 'Fantasy movie?', ""The main character's birthyear?""]","['17 November 2016', 'Eddie Redmayne', 'Yes', 'Yes', '1897']"
586,"[""What's the name of the creator for Criminal Minds?"", 'What date did the show begin?', 'What network airs it?', 'Can you tell me the name of the unit that the show is about?', 'Does the show still run new episodes in 2018?']","['Jeff Davis', '22 September 2005', 'CBS', 'Behavioral Analysis Unit', 'Yes']"
587,"['The show is on what TV network?', 'When did it first air?', 'Where is it set?', ""What's the name of the two cops?"", 'What actors played those roles?']","['Fox Broadcasting Company', '21 September 2016', 'Los Angeles', 'Martin Riggs; Roger Murtaugh', 'Clayne Crawford; Damon Wayans']"
588,"['Who is the creator of The Orville?', 'What network airs it?', 'How long does an episode run?', 'What was the airdate of the first episode?', 'Who is the actress who plays the Xelayan security chief on the show?']","['Seth MacFarlane', 'Fox Broadcasting Company', '44 minute', '10 September 2017', 'Halston Sage']"
589,"['Which actor starred in the role of Amenadiel in Lucifer?', 'What about Mr Morningstar?', 'his birthdate?', 'What about D. B. Woodside?', ""Does the series relate to the DC comics' Lucifer?""]","['D. B. Woodside', 'Tom Ellis', '17 November 1978', '25 July 1969', 'Yes']"
590,"['What band in known for albums such as ""the dark side of the moon"" and ""the wall""?', 'Which co founder of Pink Floyd left the band?', 'Who was the orignial lead vocalist of Pink Floyd?', 'Who is the leader in 2018?', 'What album from Pink Flotd became a movie?']","['Pink Floyd', 'Roger Waters', 'Syd Barrett', 'David Gilmour', 'The Wall']"
591,"['Which actor played JD in Scrubs?', 'And who starred as Turk?', 'What is the number of seasons that the series has?', 'And how many episodes?', 'When did it end?']","['Zach Braff', 'Donald Faison', '9', '182', '17 March 2010']"
592,"['Did the book To Kill a Mockingbird win a Pulitzer Prize?', 'In what year did it win the Pulitzer?', 'And in what genre?', 'Who was the author of the book?', 'Was the book also a winner of the National Book Award for Fiction?']","['Yes', '1961', 'Fiction', 'Harper Lee', 'Yes']"
593,"['Who created The Orville?', 'What network airs it?', 'How long does an episode run?', 'On what date did the first episode air?', 'Who is the actress who plays the Xelayan security chief on the show?']","['Seth MacFarlane', 'Fox Broadcasting Company', '44 minute', '10 September 2017', 'Halston Sage']"
594,"['the season 2 in Twin Peaks has how many episodes?', 'which year was the last one?', 'shot by?', 'did he also make the previous episode?', 'who was it then?']","['22', '1991', 'David Lynch', 'No', 'Tim Hunter']"
595,"['What year did the Carpenters sign with A&M Records?', 'What was their first hit?', 'When did Karen die?', 'What disorder did Karen have?', 'What caused her death?']","['1969', '(They Long to Be) Close to You', '1983', 'anorexia nervosa', 'heart failure']"
596,"['where the administration of Dynamo Dresden sits?', 'and when was it launched?', 'was the clud a holder of UEFA cup?', 'what about Indoor-Regio-Cup?', 'it happened when?']","['Dresden', '1953', 'No', 'Yes', '2007']"
597,"['What book has Pennywise the Dancing clown as the villain?', 'Where was the movie located?', 'What kid had his brother killed?', ""Which friend is Bill's Dengourough best friend"", 'What is the name of the main bully in IT?']","['IT', 'Derry', 'Bill Denbrough', 'Eddie Kapsbrack', 'Henry Bowers']"
598,"[""What is Lady Gaga's birth name?"", 'Lady Gaga was born in which year?', ""Singer's first record label was who?"", 'Who signed Lady Gaga after Def Jam?', 'Is Lady Gaga a Grammy winner?']","['Stefani Joanne Angelina Germanotta (English)', '1986', 'Def Jam Recordings', 'Interscope Records', 'Yes']"
599,"['Which actor starred as Archie Andrews in Riverdale?', 'And Jughead Jones?', 'From what was it derived from?', 'When was the comics start time?', 'What about the television series?']","['KJ Apa', 'Cole Sprouse', 'Archie', '1941', '26 January 2017']"
600,"['Name the club Lionel Messi is currently playing for?', 'who is the captain?', 'Messi is from which country?', ""He's been with them how long?"", 'where is the club located?']","['FC Barcelona', 'Lionel Messi', 'Argentina', '15 years', 'Spain']"
601,"['Which season out of the first 3 seasons of the tv series The Blacklist has the most episodes?', 'How many more episodes has season 3 compared to the season with the second most episodes out of the three?', 'Which actor starres as Reddington in Season 1?', ""What's the name of his partner in 2018?"", 'Was Spader born before her?']","['The Blacklist, season 3', '1', 'James Spader', 'Leslie Stefanson', 'Yes']"
602,"['Who plays Malorie in Bird Box?', 'Where can it be watched?', 'Who directed it?', ""What's the release date?"", 'Whats the rating?']","['Sandra Bullock', 'Netflix', 'Susanne Bier', '21 December 2018', 'R']"
603,"['Who wrote the book?', 'Who published the book?', 'What year did the book come out?', 'What award did the book get?', 'Where was the book written?']","['E. B. White', 'Haper', '1952', 'Newbery Medal', 'United States of America']"
604,"['How many awards did Elvis Presley receive?', 'The name of the child of him and Priscilla Presley?', 'The name of her first studio album?', 'Michael Jackson took part in that?', 'Was Michael her spouse once?']","['4', 'Lisa Marie Presley', 'To Whom It May Concern', 'No', 'Yes']"
605,"['Who wrote the book To kill a Mockingbird ?', 'genre?', ""the novel's Pulitzer prize winning year?"", 'film name based on the book?', 'and the director of the movie?']","['Harper Lee', 'Southern Gothic;Bildungsroman', '1961', 'To Kill a Mockingbird', 'Robert Mulligan']"
606,"[""Who is married to rapper Jay-Z and from Destiny's Child?"", 'Her first solo album was?', 'What was the first single released from the album?', 'Her most recent album in 2018?', 'Her first movie?']","['Beyonce', 'Dangerously in Love', 'Crazy in Love', 'Lemonade', 'Carmen: A Hip Hopera']"
607,"['Did this movie start as a book?', 'What year did it come out?', 'The movie was directed by who?', 'Where did the movie happen?', 'Who wrote the screenplay?']","['yes', '1980', 'Stanley Kubrick', 'Colorado', 'Stanley Kubrick; Diane Johnson']"
608,"['In which year did the first Witcher short story come to the market?', 'And the computer game The Witcher 1?', 'Which actor dubbed Geralt?', 'Also in the third version of the game?', ""What's Ciri's full name?""]","['1986', '2007', 'Doug Cockle', 'Yes', 'Cirilla Fiona Elen Riannon']"
